id,x,y,z
1,45.2,32.1,18.5
2,46.1,31.8,19.2
3,44.9,32.5,18.9
4,47.3,30.9,19.8
5,45.8,32.3,18.6
6,46.5,31.4,19.1
7,44.2,33.1,18.3
8,46.9,31.7,19.4
9,45.4,32.0,18.7
10,47.1,30.6,20.1
11,46.2,31.9,19.0
12,45.6,32.2,18.8
13,46.8,31.2,19.5
14,45.1,32.4,18.5
15,46.4,31.5,19.2
16,45.7,32.1,18.9
17,47.0,30.8,19.9
18,45.3,32.3,18.6
19,46.6,31.3,19.3
20,45.5,32.0,18.7
21,85.2,15.4,5.1
22,46.1,31.6,19.1
23,45.9,32.2,18.8
24,46.7,31.1,19.6
25,45.2,32.5,18.4
26,46.3,31.8,19.0
27,12.1,55.3,42.8
28,45.8,32.1,18.9
29,46.5,31.4,19.2
30,45.4,32.3,18.6
31,46.9,30.9,19.7
32,45.6,32.0,18.8
33,46.2,31.7,19.1
34,45.7,32.2,18.7
35,47.2,30.5,20.2
36,45.3,32.4,18.5
37,46.4,31.6,19.3
38,45.5,32.1,18.9
39,46.8,31.0,19.8
40,45.1,32.5,18.4
41,46.6,31.2,19.4
42,45.9,32.2,18.8
43,46.1,31.9,19.0
44,45.8,32.0,18.7
45,47.1,30.7,19.9
46,45.2,32.3,18.6
47,46.3,31.5,19.2
48,45.6,32.1,18.9
49,46.7,31.3,19.5
50,2.1,88.9,95.3
