id,sales_amount,customer_age,transaction_date,region
1,1245.67,34,2024-01-15,North
2,3421.89,52,2024-01-18,South
3,892.34,28,2024-01-22,East
4,2156.78,45,2024-01-25,West
5,567.12,39,2024-02-03,North
6,4234.56,61,2024-02-07,South
7,1834.92,33,2024-02-11,East
8,2945.67,47,2024-02-14,West
9,756.89,29,2024-02-18,North
10,3678.45,55,2024-02-22,South
11,1423.56,36,2024-02-25,East
12,2789.12,48,2024-03-01,West
13,945.34,31,2024-03-05,North
14,3456.78,58,2024-03-09,South
15,1567.89,40,2024-03-12,East
16,2234.56,46,2024-03-16,West
17,876.45,27,2024-03-20,North
18,4012.34,62,2024-03-24,South
19,1789.67,37,2024-03-28,East
20,2567.89,49,2024-04-01,West
21,1123.45,32,2024-04-05,North
22,3345.67,56,2024-04-09,South
23,1456.78,38,2024-04-13,East
24,2923.45,51,2024-04-17,West
25,789.12,30,2024-04-21,North
26,3789.56,59,2024-04-25,South
27,1678.90,41,2024-04-29,East
28,2345.67,47,2024-05-03,West
29,912.34,26,2024-05-07,North
30,3567.89,54,2024-05-11,South
31,1534.56,39,2024-05-15,East
32,2678.90,50,2024-05-19,West
33,1045.67,33,2024-05-23,North
34,3923.45,60,2024-05-27,South
35,1789.12,42,2024-05-31,East
36,2456.78,48,2024-06-04,West
37,834.56,28,2024-06-08,North
38,3234.67,57,2024-06-12,South
39,1612.89,40,2024-06-16,East
40,2834.56,52,2024-06-20,West
41,967.34,29,2024-06-24,North
42,3678.90,55,2024-06-28,South
43,1723.45,43,2024-07-02,East
44,2567.12,49,2024-07-06,West
45,1156.78,32,2024-07-10,North
46,3845.67,61,2024-07-14,South
47,1834.56,38,2024-07-18,East
48,2734.89,51,2024-07-22,West
49,789.01,27,2024-07-26,North
